Spanish,English
dirigirán,will direct
atrasó,backwardness
amueblado,furnished
togas,togas
leed,read
casaya,casaya
emocionadas,excited
volaran,they will fly
introvertido,introvert
opondrá,will oppose
zeuthen,zeuthen
curran,curran
felicite,congratulate
brinde,toast
concordar,agree
coleccionas,you collect
cramer,cramer
avenidas,avenues
violacion,rape
hamza,Hamza
rebela,rebels
zanjado,settled
marietta,Marietta
regañarme,scold me
anualmente,annually
coloridos,colorful
afirmas,you claim
culpamos,we blame
señalaba,pointed out
acebo,holly
quebraron,went bankrupt
aeroespacial,aerospace
encubrió,covered up
calladamente,quietly
niã,girl
cuidándolo,taking care of him
enright,enright
decaer,decay
wray,wray
favor-,favor-
pasamanos,railing
wine,wine
rosaura,Rosaura
kebabs,kebabs
sheriffs,sheriffs
gominola,gummy bear
flats,flats
samurais,samurai
keppler,Keppler
tirones,jerks
prefieran,prefer
sustituirá,will replace
samira,Samira
puchero,pot
taquiones,tachyons
carteros,postmen
affaire,affair
soft,soft
branquias,gills
hobbits,hobbits
wants,wants
nombrados,appointed
renace,is reborn
ooooh,ooooh
aoki,Aoki
hooli,hooli
grabes,gravel
petar,petar
criticó,critical
weird,weird
espantó,terror
escasean,are scarce
flecos,fringes
mucosa,mucous membrane
doran,golden
curanderos,healers
entrañable,endearing
zoran,Zoran
predeterminado,predetermined
insurgencia,insurgency
trimble,Trimble
díles,tell them
cova,cave
jeffers,jeffers
latinas,Latinas
hex,hex
gilberte,Gilbert
sifu,sifu
griswold,Griswold
cajetilla,pack
traicionara,betrayed
shizu,Shizu
speak,speak
crecería,would grow
efímera,ephemeral
dudará,will doubt
violaría,would rape
ansiosas,anxious
lennart,Lennart
cosmología,cosmology
quintana,quintana
matalo,kill him
mezclaron,mixed
torrio,torrio
conquistaron,conquered
pues-,well-
enamorará,will fall in love
hitomi,Hitomi
mamaíta,mommy
nombrando,naming
dos-,two-
langer,langer
albergues,shelters
proscrito,outlaw
desvíe,divert
soltaba,released
admirablemente,admirably
cometerás,you will commit
narnia,Narnia
resoluciones,resolutions
emigró,emigrated
indefinida,indefinite
aplicable,applicable
insólita,unusual
mojas,you wet
volveran,they will return
retrocedió,stepped back
aventurarse,venture
jornalero,laborer
reguero,trail
apégate,stick to it
bulimia,bulimia
encaminado,on track
toméis,you take
sucediese,happened
intergaláctico,intergalactic
herméticamente,hermetically
mcmillan,McMillan
reveladora,revealing
esmero,care
hieran,hurt
tatsuo,tatsuo
hiciesen,they did
predilección,predilection
hucha,piggy bank
ambrosía,ragweed
dimitió,resigned
hanjo,hanjo
portatil,portable
mancuso,mancuso
roñoso,mangy
arrestemos,let's arrest
spicer,spicer
aprieten,squeeze
depositados,deposited
escurre,drains
cuate,friend
deus,deus
antivirus,antivirus
aborda,addresses
cuando-,when-
conseguid,get
ralentizar,slow down
cepillarme,brush my teeth
diab,devil
incautado,seized
limehouse,limehouse
armo,armo
wiener,wiener
estropearía,would spoil
desperte,woke up
cinética,kinetics
enviándome,sending me
donatello,Donatello
aguado,watery
es-es,it is-it is
remite,refers
estorba,hinders
costner,costner
meseros,waiters
greenleaf,greenleaf
buscandote,looking for you
jos,jos
cuidemos,let's take care
sudorosos,sweaty
pruebalo,try it
fetichismo,fetishism
gastadas,worn
kimiko,Kimiko
llevaréis,you will take
tsa,TSA
sónar,dream
cuajada,curd
pernille,pernille
botswana,Botswana
turísticos,tourist
auditiva,auditory
rennie,Rennie
involucraría,would involve
joaquim,Joaquim
hormonales,hormonal
